Model,Volatility Regime,N,MSE,MAE,MAPE,R2,QLIKE,Directional Accuracy
arima_h5,Low (<20),702,3.975876729269871,1.4765061668785868,0.09201757971961327,0.12332915188079097,0.006380292607006473,53.84615384615385
arima_h5,Medium (20-30),199,13.791676353349919,2.859690614782568,0.12330156967407233,-1.380284487330706,0.01686172122063502,54.2713567839196
arima_h5,High (>30),21,171.57951868321504,9.345331238479506,0.24329358901992992,-3.48865299623022,0.11734334266253403,38.095238095238095
har_h5,Low (<20),703,3.929716020406859,1.439554558709276,0.09008788438566065,0.13396065273598012,0.006248284804759915,54.19630156472262
har_h5,Medium (20-30),199,13.479357389145205,2.78461537862533,0.11984612425340158,-1.3263818313700253,0.016438123635223716,54.2713567839196
har_h5,High (>30),20,173.96595359943242,9.327915458234632,0.24116032086535683,-3.3459671192093996,0.11676724763862105,45.0
lstm_bayesoptimization_h5,Low (<20),703,5.529695750678231,1.8113644062093865,0.11492056185798455,-0.21864635348133432,0.008634371939370724,53.485064011379805
lstm_bayesoptimization_h5,Medium (20-30),199,13.418577664361843,2.9301602379825873,0.12650142498867553,-1.3158919509276852,0.016244988428560595,55.778894472361806
lstm_bayesoptimization_h5,High (>30),24,160.1891605867096,8.823691625288511,0.2275983042302959,-3.6089354031134606,0.1160587028677274,45.83333333333333
lstm_gridsearch_h5,Low (<20),703,5.773099488246561,1.844802596219035,0.11720848561986404,-0.2722881975511444,0.00894903172317697,51.920341394025606
lstm_gridsearch_h5,Medium (20-30),199,16.959724878941074,3.3321190416510795,0.14277329964777757,-1.9270531735567191,0.020010031908567788,49.74874371859296
lstm_gridsearch_h5,High (>30),24,183.03117626408337,9.728768672915953,0.253819881215361,-4.26614201027921,0.141217165016671,45.83333333333333
random_forest_bayesoptimization_h5,Low (<20),703,6.296951751429002,1.9487992521364943,0.12435866130525829,-0.38773589649767803,0.009926739946831561,52.204836415362735
random_forest_bayesoptimization_h5,Medium (20-30),199,16.047817263400173,3.0502634854833945,0.1298346332330281,-1.7696684223822539,0.01651340684805651,56.28140703517588
random_forest_bayesoptimization_h5,High (>30),17,315.8966821881882,15.511825905863668,0.41782495563129535,-6.047061864334501,0.19800593797697358,29.411764705882355
random_forest_gridsearch_h5,Low (<20),703,5.129858282594274,1.7173547731473673,0.10823012830721136,-0.13052930429179077,0.0080754119422312,53.058321479374115
random_forest_gridsearch_h5,Medium (20-30),199,16.323159908437194,3.091387971385468,0.13193706477745576,-1.817189391544428,0.017357164275570745,52.76381909547738
random_forest_gridsearch_h5,High (>30),17,277.6043715207908,14.114305112196702,0.3731389462829114,-5.192832309493181,0.18466355260417516,35.294117647058826
randomwalk_h5,Low (<20),711,4.865860754338049,1.5317018296983507,0.09467830034579953,-0.07332220075469409,0.007309021827152768,54.289732770745424
randomwalk_h5,Medium (20-30),201,16.153436917733508,3.043582109669548,0.13083025559516703,-1.7416334399610398,0.01788210484770743,52.736318407960205
randomwalk_h5,High (>30),25,156.641549684388,8.698400192260742,0.23213567085689393,-3.669730515743894,0.0926010999927793,40.0
tft_bayesoptimization_h5,Low (<20),703,4.26865604105056,1.5303207874976386,0.09575791863050563,0.05926431521041675,0.006879603913062598,52.63157894736842
tft_bayesoptimization_h5,Medium (20-30),199,18.273898035172778,3.060917370283424,0.13159892043630303,-2.153864323796984,0.01913220210933859,55.27638190954774
tft_bayesoptimization_h5,High (>30),22,173.1368492248957,9.410746704448353,0.24158205782016437,-3.734534564825287,0.12497931070401137,54.54545454545454
tft_gridsearch_h5,Low (<20),703,3.951960369839779,1.4735082610063839,0.09194599591740833,0.12905839471958425,0.006586905195300502,55.19203413940256
tft_gridsearch_h5,Medium (20-30),199,16.88447647952351,3.1484445926532074,0.13586752573856517,-1.9140661665213794,0.020435646409065457,54.773869346733676
tft_gridsearch_h5,High (>30),22,186.40371121905198,10.093041853471236,0.26164156158222235,-4.097325137480966,0.14073387293121498,50.0
xgboost_bayesoptimization_h5,Low (<20),703,6.405131976688995,1.9559664160817825,0.125665036464166,-0.41157688937973846,0.010412767620490425,52.06258890469416
xgboost_bayesoptimization_h5,Medium (20-30),199,15.893052587223199,3.1852077257951144,0.13583833785143265,-1.7429578218393882,0.017409683016212294,51.256281407035175
xgboost_bayesoptimization_h5,High (>30),24,188.12749377306793,10.26123523171997,0.27249745254233987,-4.412772394673737,0.1317071296405982,50.0
xgboost_gridsearch_h5,Low (<20),703,8.953237040571835,2.2645286925380486,0.14714082614688023,-0.9731338148231103,0.013799081475054941,51.493598862019915
xgboost_gridsearch_h5,Medium (20-30),199,20.711695011753086,3.5063272643325267,0.1485913646800919,-2.574600003633784,0.020788493372846086,50.25125628140703
xgboost_gridsearch_h5,High (>30),24,229.10079489054496,11.193433279062907,0.30262142778560014,-5.59164927629987,0.13414774443956864,41.66666666666667
