Model,Volatility Regime,N,MSE,MAE,MAPE,R2,QLIKE,Directional Accuracy
lstm_bayesoptimization_h22_con PM,Low (<20),39,7.759667252,1.959357979,0.112799743,-4.569025366,0.009902222,64.1025641
lstm_bayesoptimization_h22_con PM,Medium (20-30),17,69.30817713,7.816136717,0.304714693,-15.37420534,0.090312164,58.82352941
lstm_bayesoptimization_h22_con PM,High (>30),1,197.0061612,14.03588833,0.452041503,,0.223400002,0
lstm_bayesoptimization_h22_senza PM,Low (<20),39,2.328752267,1.222010592,0.069891694,-0.671319146,0.003826823,58.97435897
lstm_bayesoptimization_h22_senza PM,Medium (20-30),17,61.31678017,7.527269942,0.29559412,-13.48622069,0.077131506,52.94117647
lstm_bayesoptimization_h22_senza PM,High (>30),1,183.6487621,13.55170698,0.436447901,,0.200963339,0
lstm_gridsearch_h22_con PM,Low (<20),39,2.746622712,1.331148582,0.076080577,-0.971220035,0.004596923,61.53846154
lstm_gridsearch_h22_con PM,Medium (20-30),17,65.30420036,7.64865903,0.299094982,-14.42825725,0.084222033,52.94117647
lstm_gridsearch_h22_con PM,High (>30),1,162.2236622,12.73670531,0.410199859,,0.167518048,0
lstm_gridsearch_h22_senza PM,Low (<20),39,2.333746194,1.288809125,0.072219329,-0.674903231,0.004035619,53.84615385
lstm_gridsearch_h22_senza PM,Medium (20-30),17,72.80648506,8.222657501,0.322684879,-16.20068809,0.096144648,52.94117647
lstm_gridsearch_h22_senza PM,High (>30),1,192.5062476,13.87466207,0.446849031,,0.215700413,0
random_forest_bayesoptimization_h22_con PM,Low (<20),39,6.015725981,2.198705945,0.128519069,-3.317418453,0.008570162,53.84615385
random_forest_bayesoptimization_h22_con PM,Medium (20-30),17,26.28704304,4.710892096,0.18351951,-5.21037024,0.027409009,58.82352941
random_forest_bayesoptimization_h22_con PM,High (>30),1,158.7049942,12.59781704,0.405726807,,0.162311617,0
random_forest_bayesoptimization_h22_senza PM,Low (<20),39,6.669853496,2.331190975,0.135782855,-3.786878367,0.009553035,56.41025641
random_forest_bayesoptimization_h22_senza PM,Medium (20-30),17,30.35281645,5.024364157,0.195187607,-6.170917918,0.032537967,58.82352941
random_forest_bayesoptimization_h22_senza PM,High (>30),1,178.1671907,13.34792833,0.429884981,,0.192114872,0
random_forest_gridsearch_h22_con PM,Low (<20),39,5.360081482,2.067808022,0.120964597,-2.846869816,0.007678795,56.41025641
random_forest_gridsearch_h22_con PM,Medium (20-30),17,25.92236213,4.714171558,0.183644843,-5.124213594,0.026751412,52.94117647
random_forest_gridsearch_h22_con PM,High (>30),1,168.5877474,12.98413445,0.418168592,,0.177136379,0
random_forest_gridsearch_h22_senza PM,Low (<20),39,7.520185477,2.474836746,0.144068307,-4.397152006,0.010714538,53.84615385
random_forest_gridsearch_h22_senza PM,Medium (20-30),17,26.91405899,4.622295938,0.179439277,-5.358504101,0.028810165,52.94117647
random_forest_gridsearch_h22_senza PM,High (>30),1,160.8700599,12.68345615,0.40848491,,0.165505862,0
tft_bayesoptimization_h22_con PM,Low (<20),37,2.827844989,1.368460063,0.075936905,-1.002182968,0.00485053,64.86486486
tft_bayesoptimization_h22_con PM,Medium (20-30),17,61.11362659,7.499766181,0.29480514,-13.43822522,0.077508007,52.94117647
tft_bayesoptimization_h22_con PM,High (>30),1,193.3661246,13.90561486,0.4478459,,0.217160503,0
tft_bayesoptimization_h22_senza PM,Low (<20),37,2.12165364,1.214923705,0.068796933,-0.502182334,0.003522231,70.27027027
tft_bayesoptimization_h22_senza PM,Medium (20-30),17,60.66417342,7.100097545,0.277407812,-13.33204095,0.079112104,52.94117647
tft_bayesoptimization_h22_senza PM,High (>30),1,209.1394558,14.46165467,0.465753785,,0.244897665,0
tft_gridsearch_h22_con PM,Low (<20),37,2.657897153,1.222380844,0.068086803,-0.881855771,0.005140263,62.16216216
tft_gridsearch_h22_con PM,Medium (20-30),17,60.66176497,7.601448844,0.30090041,-13.33147195,0.077807984,52.94117647
tft_gridsearch_h22_con PM,High (>30),1,181.3812296,13.46778488,0.433745095,,0.197278178,0
tft_gridsearch_h22_senza PM,Low (<20),37,2.12880835,1.194204434,0.066392456,-0.507248042,0.003719472,62.16216216
tft_gridsearch_h22_senza PM,Medium (20-30),17,54.47423927,7.086613712,0.279617082,-11.86965574,0.067514857,52.94117647
tft_gridsearch_h22_senza PM,High (>30),1,224.6376545,14.98791695,0.482702651,,0.273986727,0
xgboost_bayesoptimization_h22_con PM,Low (<20),39,5.85946737,1.9999719,0.114721091,-3.205273416,0.008034265,53.84615385
xgboost_bayesoptimization_h22_con PM,Medium (20-30),17,27.83065172,4.801219194,0.187774146,-5.575051097,0.030122835,52.94117647
xgboost_bayesoptimization_h22_con PM,High (>30),1,143.9376605,11.99740224,0.386389776,,0.141303684,0
xgboost_bayesoptimization_h22_senza PM,Low (<20),39,3.087388312,1.471311609,0.084570205,-1.215783649,0.005063795,56.41025641
xgboost_bayesoptimization_h22_senza PM,Medium (20-30),17,33.41780178,5.094580212,0.198917467,-6.895027269,0.038061359,58.82352941
xgboost_bayesoptimization_h22_senza PM,High (>30),1,159.0511742,12.61154924,0.406169068,,0.162820362,0
xgboost_gridsearch_h22_con PM,Low (<20),39,3.445638146,1.536212259,0.08927514,-1.472895501,0.004966717,58.97435897
xgboost_gridsearch_h22_con PM,Medium (20-30),17,35.3614547,5.487861664,0.214433083,-7.354219437,0.039349612,52.94117647
xgboost_gridsearch_h22_con PM,High (>30),1,152.3307214,12.34223324,0.397495444,,0.153078435,0
xgboost_gridsearch_h22_senza PM,Low (<20),39,2.837997493,1.351709515,0.07810804,-1.036798681,0.004141212,58.97435897
xgboost_gridsearch_h22_senza PM,Medium (20-30),17,43.01855826,6.214353899,0.243159141,-9.163226558,0.049194162,52.94117647
xgboost_gridsearch_h22_senza PM,High (>30),1,163.4403526,12.78437924,0.411735251,,0.169336701,0
