Model,Volatility Regime,N,MSE,MAE,MAPE,R2,QLIKE,Directional Accuracy
lstm_bayesoptimization_h1_con PM,Low (<20),49,2.761587445,1.389425088,0.077732141,-0.917103831,0.004669685,48.97959184
lstm_bayesoptimization_h1_con PM,Medium (20-30),27,50.57376639,6.344680052,0.25777642,-6.582178929,0.068285004,51.85185185
lstm_bayesoptimization_h1_con PM,High (>30),1,189.3259045,13.75957501,0.443142523,,0.210345689,0
lstm_bayesoptimization_h1_senza PM,Low (<20),49,9.730476464,2.338545706,0.13498547,-5.754931386,0.012395608,57.14285714
lstm_bayesoptimization_h1_senza PM,Medium (20-30),27,46.94998139,6.18011435,0.252177681,-6.038889627,0.060936948,51.85185185
lstm_bayesoptimization_h1_senza PM,High (>30),1,188.0794597,13.71420649,0.441681379,,0.208266498,0
lstm_gridsearch_h1_con PM,Low (<20),49,3.217425127,1.494140704,0.083066435,-1.233547972,0.005459701,61.2244898
lstm_gridsearch_h1_con PM,Medium (20-30),27,48.27951949,6.329295665,0.258856521,-6.238218181,0.063918028,51.85185185
lstm_gridsearch_h1_con PM,High (>30),1,207.2846249,14.39738257,0.46368383,,0.241540366,0
lstm_gridsearch_h1_senza PM,Low (<20),49,3.579166952,1.61057341,0.090347957,-1.484670434,0.006072614,61.2244898
lstm_gridsearch_h1_senza PM,Medium (20-30),27,55.03073271,6.706716048,0.273269546,-7.25038141,0.075372367,48.14814815
lstm_gridsearch_h1_senza PM,High (>30),1,231.8721825,15.22734982,0.490413855,,0.288220381,0
random_forest_bayesoptimization_h1_con PM,Low (<20),49,3.042857883,1.395094341,0.081223454,-1.11236277,0.004391795,55.10204082
random_forest_bayesoptimization_h1_con PM,Medium (20-30),27,12.15793091,2.907002873,0.117967798,-0.822755435,0.012346225,62.96296296
random_forest_bayesoptimization_h1_con PM,High (>30),1,78.95004296,8.88538367,0.286163732,,0.06377981,0
random_forest_bayesoptimization_h1_senza PM,Low (<20),49,2.7466847,1.367186787,0.078541028,-0.906758292,0.003811214,46.93877551
random_forest_bayesoptimization_h1_senza PM,Medium (20-30),27,9.491010677,2.421147155,0.098803857,-0.422922323,0.009799566,59.25925926
random_forest_bayesoptimization_h1_senza PM,High (>30),1,61.00939178,7.8108509,0.251557201,,0.046346952,0
random_forest_gridsearch_h1_con PM,Low (<20),49,2.494590794,1.334305246,0.076754395,-0.731753806,0.003605756,51.02040816
random_forest_gridsearch_h1_con PM,Medium (20-30),27,10.34070445,2.623613249,0.107198354,-0.550311101,0.010654795,66.66666667
random_forest_gridsearch_h1_con PM,High (>30),1,77.79211564,8.81998388,0.284057459,,0.062604769,0
random_forest_gridsearch_h1_senza PM,Low (<20),49,2.547356546,1.334675047,0.076253561,-0.768383979,0.003548089,48.97959184
random_forest_gridsearch_h1_senza PM,Medium (20-30),27,8.989174438,2.39434532,0.098272514,-0.347685448,0.009293052,59.25925926
random_forest_gridsearch_h1_senza PM,High (>30),1,59.41017375,7.70779954,0.248238317,,0.044872875,0
tft_bayesoptimization_h1_con PM,Low (<20),49,4.892200898,1.702055406,0.096333404,-2.396183271,0.007364604,63.26530612
tft_bayesoptimization_h1_con PM,Medium (20-30),27,51.35160917,6.412798491,0.261533408,-6.698795578,0.070729706,51.85185185
tft_bayesoptimization_h1_con PM,High (>30),1,128.5204309,11.33668518,0.365110643,,0.120773056,0
tft_bayesoptimization_h1_senza PM,Low (<20),49,3.500394951,1.538829823,0.085088761,-1.42998663,0.005928561,59.18367347
tft_bayesoptimization_h1_senza PM,Medium (20-30),27,52.21478387,6.725871792,0.276218729,-6.828205458,0.069704768,48.14814815
tft_bayesoptimization_h1_senza PM,High (>30),1,195.8258292,13.99377823,0.4506853,,0.221366322,0
tft_gridsearch_h1_con PM,Low (<20),49,3.970018072,1.517615143,0.086673031,-1.756000672,0.006131617,69.3877551
tft_gridsearch_h1_con PM,Medium (20-30),27,43.07240672,5.824341774,0.238768264,-5.457551375,0.057100775,59.25925926
tft_gridsearch_h1_con PM,High (>30),1,190.5400662,13.80362511,0.444561206,,0.212381529,0
tft_gridsearch_h1_senza PM,Low (<20),49,3.521604352,1.344105273,0.075152137,-1.444710273,0.004912361,61.2244898
tft_gridsearch_h1_senza PM,Medium (20-30),27,35.30283593,5.156467826,0.211400012,-4.292712761,0.045245948,51.85185185
tft_gridsearch_h1_senza PM,High (>30),1,211.5889321,14.5460968,0.468473338,,0.24937125,0
xgboost_bayesoptimization_h1_con PM,Low (<20),49,2.313052616,1.273544717,0.073972654,-0.605729357,0.003450263,55.10204082
xgboost_bayesoptimization_h1_con PM,Medium (20-30),27,12.71542485,2.977473303,0.120234981,-0.906336688,0.012765441,55.55555556
xgboost_bayesoptimization_h1_con PM,High (>30),1,133.1983104,11.54115724,0.371695894,,0.126854986,0
xgboost_bayesoptimization_h1_senza PM,Low (<20),49,2.121790285,1.216306405,0.070169992,-0.472954366,0.003097941,55.10204082
xgboost_bayesoptimization_h1_senza PM,Medium (20-30),27,14.41930228,3.259527926,0.132853778,-1.161787379,0.015064675,48.14814815
xgboost_bayesoptimization_h1_senza PM,High (>30),1,105.0997567,10.25181724,0.330171256,,0.092185707,0
xgboost_gridsearch_h1_con PM,Low (<20),49,1.452031952,0.97713458,0.056672118,-0.008005748,0.002219681,61.2244898
xgboost_gridsearch_h1_con PM,Medium (20-30),27,17.129211,3.53429205,0.142578639,-1.568065461,0.01772495,51.85185185
xgboost_gridsearch_h1_con PM,High (>30),1,111.2950358,10.54964624,0.339763172,,0.09945135,0
xgboost_gridsearch_h1_senza PM,Low (<20),49,1.543646507,0.994560266,0.057780941,-0.071604898,0.002344607,59.18367347
xgboost_gridsearch_h1_senza PM,Medium (20-30),27,14.0940866,3.221926161,0.130630271,-1.113030017,0.01432742,51.85185185
xgboost_gridsearch_h1_senza PM,High (>30),1,112.7547348,10.61860324,0.34198401,,0.101193861,0
