timestamp_unix,datetime_utc,us_recession_2025_no
1745539206,2025-04-25T00:00:06+00:00,0.465
1745625606,2025-04-26T00:00:06+00:00,0.445
1745712005,2025-04-27T00:00:05+00:00,0.46
1745798405,2025-04-28T00:00:05+00:00,0.455
1745884805,2025-04-29T00:00:05+00:00,0.425
1745971206,2025-04-30T00:00:06+00:00,0.355
1746057606,2025-05-01T00:00:06+00:00,0.365
1746144006,2025-05-02T00:00:06+00:00,0.345
1746230406,2025-05-03T00:00:06+00:00,0.375
1746316805,2025-05-04T00:00:05+00:00,0.42
1746403205,2025-05-05T00:00:05+00:00,0.425
1746489606,2025-05-06T00:00:06+00:00,0.425
1746576005,2025-05-07T00:00:05+00:00,0.47
1746662406,2025-05-08T00:00:06+00:00,0.495
1746748807,2025-05-09T00:00:07+00:00,0.485
1746835206,2025-05-10T00:00:06+00:00,0.495
1746921606,2025-05-11T00:00:06+00:00,0.485
1747008006,2025-05-12T00:00:06+00:00,0.505
1747094406,2025-05-13T00:00:06+00:00,0.605
1747180807,2025-05-14T00:00:07+00:00,0.605
1747267207,2025-05-15T00:00:07+00:00,0.605
1747353606,2025-05-16T00:00:06+00:00,0.635
1747440007,2025-05-17T00:00:07+00:00,0.635
1747526406,2025-05-18T00:00:06+00:00,0.63
1747612806,2025-05-19T00:00:06+00:00,0.63
1747699206,2025-05-20T00:00:06+00:00,0.625
1747785606,2025-05-21T00:00:06+00:00,0.605
1747872007,2025-05-22T00:00:07+00:00,0.61
1747958407,2025-05-23T00:00:07+00:00,0.605
1748044807,2025-05-24T00:00:07+00:00,0.595
1748131206,2025-05-25T00:00:06+00:00,0.615
1748217607,2025-05-26T00:00:07+00:00,0.615
1748304006,2025-05-27T00:00:06+00:00,0.615
1748390406,2025-05-28T00:00:06+00:00,0.625
1748476807,2025-05-29T00:00:07+00:00,0.615
1748563207,2025-05-30T00:00:07+00:00,0.63
1748649607,2025-05-31T00:00:07+00:00,0.67
1748736007,2025-06-01T00:00:07+00:00,0.665
1748822406,2025-06-02T00:00:06+00:00,0.675
1748908807,2025-06-03T00:00:07+00:00,0.705
1748995206,2025-06-04T00:00:06+00:00,0.715
1749081606,2025-06-05T00:00:06+00:00,0.725
1749168006,2025-06-06T00:00:06+00:00,0.705
1749254407,2025-06-07T00:00:07+00:00,0.735
1749340807,2025-06-08T00:00:07+00:00,0.735
1749427207,2025-06-09T00:00:07+00:00,0.74
1749513606,2025-06-10T00:00:06+00:00,0.745
1749600007,2025-06-11T00:00:07+00:00,0.755
1749686407,2025-06-12T00:00:07+00:00,0.775
1749772807,2025-06-13T00:00:07+00:00,0.765
1749859208,2025-06-14T00:00:08+00:00,0.735
1749945608,2025-06-15T00:00:08+00:00,0.725
1750032007,2025-06-16T00:00:07+00:00,0.695
1750118408,2025-06-17T00:00:08+00:00,0.755
1750204808,2025-06-18T00:00:08+00:00,0.715
1750291207,2025-06-19T00:00:07+00:00,0.725
1750377608,2025-06-20T00:00:08+00:00,0.725
1750464008,2025-06-21T00:00:08+00:00,0.715
1750550406,2025-06-22T00:00:06+00:00,0.715
1750636807,2025-06-23T00:00:07+00:00,0.685
1750723207,2025-06-24T00:00:07+00:00,0.73
1750809607,2025-06-25T00:00:07+00:00,0.74
1750896008,2025-06-26T00:00:08+00:00,0.735
1750982407,2025-06-27T00:00:07+00:00,0.705
1751068807,2025-06-28T00:00:07+00:00,0.7
1751155208,2025-06-29T00:00:08+00:00,0.735
1751241607,2025-06-30T00:00:07+00:00,0.735
1751328008,2025-07-01T00:00:08+00:00,0.735
1751414407,2025-07-02T00:00:07+00:00,0.76
1751500808,2025-07-03T00:00:08+00:00,0.74
1751587208,2025-07-04T00:00:08+00:00,0.785
1751673608,2025-07-05T00:00:08+00:00,0.785
1751760007,2025-07-06T00:00:07+00:00,0.775
1751846407,2025-07-07T00:00:07+00:00,0.785
1751932808,2025-07-08T00:00:08+00:00,0.775
1752019207,2025-07-09T00:00:07+00:00,0.805
1752105608,2025-07-10T00:00:08+00:00,0.805
1752192008,2025-07-11T00:00:08+00:00,0.815
1752278409,2025-07-12T00:00:09+00:00,0.805
1752364808,2025-07-13T00:00:08+00:00,0.805
1752451207,2025-07-14T00:00:07+00:00,0.8
1752537608,2025-07-15T00:00:08+00:00,0.795
1752624008,2025-07-16T00:00:08+00:00,0.785
1752710408,2025-07-17T00:00:08+00:00,0.795
1752796808,2025-07-18T00:00:08+00:00,0.805
1752883209,2025-07-19T00:00:09+00:00,0.825
1752969608,2025-07-20T00:00:08+00:00,0.825
1753056007,2025-07-21T00:00:07+00:00,0.825
1753142409,2025-07-22T00:00:09+00:00,0.825
1753228809,2025-07-23T00:00:09+00:00,0.805
1753315209,2025-07-24T00:00:09+00:00,0.815
1753401609,2025-07-25T00:00:09+00:00,0.825
1753488009,2025-07-26T00:00:09+00:00,0.825
1753574410,2025-07-27T00:00:10+00:00,0.835
1753660809,2025-07-28T00:00:09+00:00,0.83
1753747210,2025-07-29T00:00:10+00:00,0.835
1753833610,2025-07-30T00:00:10+00:00,0.835
1753920008,2025-07-31T00:00:08+00:00,0.875
1754006409,2025-08-01T00:00:09+00:00,0.885
1754092809,2025-08-02T00:00:09+00:00,0.835
1754179208,2025-08-03T00:00:08+00:00,0.855
1754265607,2025-08-04T00:00:07+00:00,0.85
1754352008,2025-08-05T00:00:08+00:00,0.855
1754438409,2025-08-06T00:00:09+00:00,0.855
1754524808,2025-08-07T00:00:08+00:00,0.855
1754611209,2025-08-08T00:00:09+00:00,0.865
1754697608,2025-08-09T00:00:08+00:00,0.875
1754784008,2025-08-10T00:00:08+00:00,0.875
1754870405,2025-08-11T00:00:05+00:00,0.875
1754956803,2025-08-12T00:00:03+00:00,0.88
1755043213,2025-08-13T00:00:13+00:00,0.88
1755129606,2025-08-14T00:00:06+00:00,0.885
1755216011,2025-08-15T00:00:11+00:00,0.885
1755302408,2025-08-16T00:00:08+00:00,0.875
1755388804,2025-08-17T00:00:04+00:00,0.875
1755475207,2025-08-18T00:00:07+00:00,0.865
1755561613,2025-08-19T00:00:13+00:00,0.87
1755648003,2025-08-20T00:00:03+00:00,0.875
1755734406,2025-08-21T00:00:06+00:00,0.875
1755820810,2025-08-22T00:00:10+00:00,0.89
1755907216,2025-08-23T00:00:16+00:00,0.9
1755993607,2025-08-24T00:00:07+00:00,0.89
1756080006,2025-08-25T00:00:06+00:00,0.885
1756166404,2025-08-26T00:00:04+00:00,0.89
1756252814,2025-08-27T00:00:14+00:00,0.895
1756339210,2025-08-28T00:00:10+00:00,0.9
1756425609,2025-08-29T00:00:09+00:00,0.895
1756512007,2025-08-30T00:00:07+00:00,0.895
1756598411,2025-08-31T00:00:11+00:00,0.91
1756684814,2025-09-01T00:00:14+00:00,0.92
1756771216,2025-09-02T00:00:16+00:00,0.92
1756857613,2025-09-03T00:00:13+00:00,0.915
1756944011,2025-09-04T00:00:11+00:00,0.915
1757030411,2025-09-05T00:00:11+00:00,0.925
1757116816,2025-09-06T00:00:16+00:00,0.925
1757203205,2025-09-07T00:00:05+00:00,0.915
1757289608,2025-09-08T00:00:08+00:00,0.92
1757376016,2025-09-09T00:00:16+00:00,0.91
1757462407,2025-09-10T00:00:07+00:00,0.91
1757548814,2025-09-11T00:00:14+00:00,0.915
1757635226,2025-09-12T00:00:26+00:00,0.875
1757721610,2025-09-13T00:00:10+00:00,0.895
1757808015,2025-09-14T00:00:15+00:00,0.905
1757894413,2025-09-15T00:00:13+00:00,0.905
1757980814,2025-09-16T00:00:14+00:00,0.905
1758067213,2025-09-17T00:00:13+00:00,0.92
1758153612,2025-09-18T00:00:12+00:00,0.945
1758240002,2025-09-19T00:00:02+00:00,0.935
1758326405,2025-09-20T00:00:05+00:00,0.93
1758412808,2025-09-21T00:00:08+00:00,0.945
1758499219,2025-09-22T00:00:19+00:00,0.94
1758585611,2025-09-23T00:00:11+00:00,0.94
1758672008,2025-09-24T00:00:08+00:00,0.945
1758758406,2025-09-25T00:00:06+00:00,0.935
1758844810,2025-09-26T00:00:10+00:00,0.935
1758931211,2025-09-27T00:00:11+00:00,0.935
1759017603,2025-09-28T00:00:03+00:00,0.935
1759104003,2025-09-29T00:00:03+00:00,0.935
1759190410,2025-09-30T00:00:10+00:00,0.935
1759276802,2025-10-01T00:00:02+00:00,0.935
1759363210,2025-10-02T00:00:10+00:00,0.945
1759449609,2025-10-03T00:00:09+00:00,0.94
1759536006,2025-10-04T00:00:06+00:00,0.94
1759622407,2025-10-05T00:00:07+00:00,0.945
1759708805,2025-10-06T00:00:05+00:00,0.945
1759795203,2025-10-07T00:00:03+00:00,0.94
