timestamp_unix,datetime_utc,us_recession_2025_yes
1736380803,2025-01-09T00:00:03+00:00,0.185
1736467204,2025-01-10T00:00:04+00:00,0.185
1736553604,2025-01-11T00:00:04+00:00,0.195
1736640004,2025-01-12T00:00:04+00:00,0.195
1736726404,2025-01-13T00:00:04+00:00,0.195
1736812803,2025-01-14T00:00:03+00:00,0.205
1736899203,2025-01-15T00:00:03+00:00,0.205
1736985604,2025-01-16T00:00:04+00:00,0.215
1737072004,2025-01-17T00:00:04+00:00,0.245
1737158404,2025-01-18T00:00:04+00:00,0.245
1737244804,2025-01-19T00:00:04+00:00,0.245
1737331204,2025-01-20T00:00:04+00:00,0.265
1737417603,2025-01-21T00:00:03+00:00,0.255
1737504003,2025-01-22T00:00:03+00:00,0.235
1737590404,2025-01-23T00:00:04+00:00,0.255
1737676803,2025-01-24T00:00:03+00:00,0.255
1737763205,2025-01-25T00:00:05+00:00,0.255
1737849604,2025-01-26T00:00:04+00:00,0.255
1737936004,2025-01-27T00:00:04+00:00,0.245
1738022404,2025-01-28T00:00:04+00:00,0.245
1738108804,2025-01-29T00:00:04+00:00,0.245
1738195205,2025-01-30T00:00:05+00:00,0.245
1738281604,2025-01-31T00:00:04+00:00,0.245
1738368005,2025-02-01T00:00:05+00:00,0.245
1738454404,2025-02-02T00:00:04+00:00,0.23
1738540805,2025-02-03T00:00:05+00:00,0.23
1738627204,2025-02-04T00:00:04+00:00,0.23
1738713604,2025-02-05T00:00:04+00:00,0.225
1738800005,2025-02-06T00:00:05+00:00,0.225
1738886404,2025-02-07T00:00:04+00:00,0.225
1738972804,2025-02-08T00:00:04+00:00,0.215
1739059206,2025-02-09T00:00:06+00:00,0.215
1739145605,2025-02-10T00:00:05+00:00,0.21
1739232004,2025-02-11T00:00:04+00:00,0.21
1739318404,2025-02-12T00:00:04+00:00,0.205
1739404804,2025-02-13T00:00:04+00:00,0.215
1739491205,2025-02-14T00:00:05+00:00,0.215
1739577604,2025-02-15T00:00:04+00:00,0.21
1739664004,2025-02-16T00:00:04+00:00,0.215
1739750404,2025-02-17T00:00:04+00:00,0.215
1739836804,2025-02-18T00:00:04+00:00,0.215
1739923204,2025-02-19T00:00:04+00:00,0.215
1740009604,2025-02-20T00:00:04+00:00,0.215
1740096005,2025-02-21T00:00:05+00:00,0.215
1740182405,2025-02-22T00:00:05+00:00,0.215
1740268804,2025-02-23T00:00:04+00:00,0.215
1740355204,2025-02-24T00:00:04+00:00,0.215
1740441604,2025-02-25T00:00:04+00:00,0.215
1740528005,2025-02-26T00:00:05+00:00,0.225
1740614405,2025-02-27T00:00:05+00:00,0.225
1740700805,2025-02-28T00:00:05+00:00,0.225
1740787205,2025-03-01T00:00:05+00:00,0.32
1740873605,2025-03-02T00:00:05+00:00,0.3
1740960005,2025-03-03T00:00:05+00:00,0.265
1741046405,2025-03-04T00:00:05+00:00,0.33
1741132804,2025-03-05T00:00:04+00:00,0.375
1741219205,2025-03-06T00:00:05+00:00,0.33
1741305605,2025-03-07T00:00:05+00:00,0.305
1741392005,2025-03-08T00:00:05+00:00,0.33
1741478405,2025-03-09T00:00:05+00:00,0.31
1741564804,2025-03-10T00:00:04+00:00,0.365
1741651205,2025-03-11T00:00:05+00:00,0.435
1741737605,2025-03-12T00:00:05+00:00,0.395
1741824006,2025-03-13T00:00:06+00:00,0.365
1741910405,2025-03-14T00:00:05+00:00,0.405
1741996804,2025-03-15T00:00:04+00:00,0.425
1742083204,2025-03-16T00:00:04+00:00,0.41
1742169604,2025-03-17T00:00:04+00:00,0.405
1742256005,2025-03-18T00:00:05+00:00,0.4
1742342405,2025-03-19T00:00:05+00:00,0.4
1742428805,2025-03-20T00:00:05+00:00,0.335
1742515205,2025-03-21T00:00:05+00:00,0.345
1742601606,2025-03-22T00:00:06+00:00,0.34
1742688006,2025-03-23T00:00:06+00:00,0.35
1742774405,2025-03-24T00:00:05+00:00,0.355
1742860806,2025-03-25T00:00:06+00:00,0.345
1742947205,2025-03-26T00:00:05+00:00,0.335
1743033606,2025-03-27T00:00:06+00:00,0.36
1743120006,2025-03-28T00:00:06+00:00,0.375
1743206406,2025-03-29T00:00:06+00:00,0.37
1743292806,2025-03-30T00:00:06+00:00,0.375
1743379205,2025-03-31T00:00:05+00:00,0.375
1743465605,2025-04-01T00:00:05+00:00,0.385
1743552006,2025-04-02T00:00:06+00:00,0.415
1743638405,2025-04-03T00:00:05+00:00,0.49
1743724805,2025-04-04T00:00:05+00:00,0.52
1743811205,2025-04-05T00:00:05+00:00,0.595
1743897605,2025-04-06T00:00:05+00:00,0.62
1743984006,2025-04-07T00:00:06+00:00,0.655
1744070406,2025-04-08T00:00:06+00:00,0.615
1744156806,2025-04-09T00:00:06+00:00,0.615
1744243205,2025-04-10T00:00:05+00:00,0.49
1744329605,2025-04-11T00:00:05+00:00,0.62
1744416006,2025-04-12T00:00:06+00:00,0.61
1744502405,2025-04-13T00:00:05+00:00,0.44
1744588805,2025-04-14T00:00:05+00:00,0.485
1744675205,2025-04-15T00:00:05+00:00,0.51
1744761605,2025-04-16T00:00:05+00:00,0.535
1744848006,2025-04-17T00:00:06+00:00,0.545
1744934404,2025-04-18T00:00:04+00:00,0.565
1745020806,2025-04-19T00:00:06+00:00,0.565
1745107206,2025-04-20T00:00:06+00:00,0.575
1745193606,2025-04-21T00:00:06+00:00,0.56
1745280006,2025-04-22T00:00:06+00:00,0.575
1745366407,2025-04-23T00:00:07+00:00,0.535
1745452806,2025-04-24T00:00:06+00:00,0.52
1745539206,2025-04-25T00:00:06+00:00,0.535
1745625606,2025-04-26T00:00:06+00:00,0.555
1745712005,2025-04-27T00:00:05+00:00,0.54
1745798405,2025-04-28T00:00:05+00:00,0.545
1745884805,2025-04-29T00:00:05+00:00,0.575
1745971206,2025-04-30T00:00:06+00:00,0.645
1746057606,2025-05-01T00:00:06+00:00,0.635
1746144006,2025-05-02T00:00:06+00:00,0.655
1746230406,2025-05-03T00:00:06+00:00,0.625
1746316805,2025-05-04T00:00:05+00:00,0.58
1746403205,2025-05-05T00:00:05+00:00,0.575
1746489606,2025-05-06T00:00:06+00:00,0.575
1746576005,2025-05-07T00:00:05+00:00,0.53
1746662406,2025-05-08T00:00:06+00:00,0.505
1746748807,2025-05-09T00:00:07+00:00,0.515
1746835206,2025-05-10T00:00:06+00:00,0.505
1746921606,2025-05-11T00:00:06+00:00,0.515
1747008006,2025-05-12T00:00:06+00:00,0.495
1747094406,2025-05-13T00:00:06+00:00,0.395
1747180807,2025-05-14T00:00:07+00:00,0.395
1747267207,2025-05-15T00:00:07+00:00,0.395
1747353606,2025-05-16T00:00:06+00:00,0.365
1747440007,2025-05-17T00:00:07+00:00,0.365
1747526406,2025-05-18T00:00:06+00:00,0.37
1747612806,2025-05-19T00:00:06+00:00,0.37
1747699206,2025-05-20T00:00:06+00:00,0.375
1747785606,2025-05-21T00:00:06+00:00,0.395
1747872007,2025-05-22T00:00:07+00:00,0.39
1747958407,2025-05-23T00:00:07+00:00,0.395
1748044807,2025-05-24T00:00:07+00:00,0.405
1748131206,2025-05-25T00:00:06+00:00,0.385
1748217607,2025-05-26T00:00:07+00:00,0.385
1748304006,2025-05-27T00:00:06+00:00,0.385
1748390406,2025-05-28T00:00:06+00:00,0.375
1748476807,2025-05-29T00:00:07+00:00,0.385
1748563207,2025-05-30T00:00:07+00:00,0.37
1748649607,2025-05-31T00:00:07+00:00,0.33
1748736007,2025-06-01T00:00:07+00:00,0.335
1748822406,2025-06-02T00:00:06+00:00,0.325
1748908807,2025-06-03T00:00:07+00:00,0.295
1748995206,2025-06-04T00:00:06+00:00,0.285
1749081606,2025-06-05T00:00:06+00:00,0.275
1749168006,2025-06-06T00:00:06+00:00,0.295
1749254407,2025-06-07T00:00:07+00:00,0.265
1749340807,2025-06-08T00:00:07+00:00,0.265
1749427207,2025-06-09T00:00:07+00:00,0.26
1749513606,2025-06-10T00:00:06+00:00,0.255
1749600007,2025-06-11T00:00:07+00:00,0.245
1749686407,2025-06-12T00:00:07+00:00,0.225
1749772807,2025-06-13T00:00:07+00:00,0.235
1749859208,2025-06-14T00:00:08+00:00,0.265
1749945608,2025-06-15T00:00:08+00:00,0.275
