datetime_utc,decreases_25_march_2025_no,decreases_25_march_2025_yes,decreases_50_march_2025_no,decreases_50_march_2025_yes,increases_25_march_2025_no,increases_25_march_2025_yes,no_change_march_2025_no,no_change_march_2025_yes
2025-03-02,0.965,0.035,0.989,0.011,0.9955,0.0045,0.048,0.952
2025-03-03,0.9535,0.0465,0.9875,0.0125,0.9955,0.0045,0.061,0.939
2025-03-04,0.94,0.06,0.9885,0.0115,0.9965,0.0035,0.0735,0.9265
2025-03-05,0.9545,0.0455,0.9885,0.0115,0.9965,0.0035,0.062,0.938
2025-03-06,0.9525,0.0475,0.984,0.016,0.9965,0.0035,0.0655,0.9345
2025-03-07,0.9325,0.0675,0.984,0.016,0.9965,0.0035,0.0875,0.9125
2025-03-08,0.9775,0.0225,0.9945,0.0055,0.9965,0.0035,0.03,0.97
2025-03-09,0.977,0.023,0.995,0.005,0.9965,0.0035,0.03,0.97
2025-03-10,0.976,0.024,0.995,0.005,0.9975,0.0025,0.029,0.971
2025-03-11,0.971,0.029,0.995,0.005,0.9975,0.0025,0.037,0.963
2025-03-12,0.9725,0.0275,0.9935,0.0065,0.9975,0.0025,0.0345,0.9655
2025-03-13,0.985,0.015,0.9935,0.0065,0.9975,0.0025,0.0225,0.9775
2025-03-14,0.9865,0.0135,0.9975,0.0025,0.9985,0.0015,0.0155,0.9845
2025-03-15,0.9875,0.0125,0.9985,0.0015,0.9985,0.0015,0.0135,0.9865
2025-03-16,0.987,0.013,0.9985,0.0015,0.9985,0.0015,0.014,0.986
2025-03-17,0.9915,0.0085,0.9985,0.0015,0.9995,0.0005,0.0085,0.9915
2025-03-18,0.991,0.009,0.9985,0.0015,0.9995,0.0005,0.0085,0.9915
2025-03-19,0.994,0.006,0.9975,0.0025,0.9995,0.0005,0.008,0.992
