timestamp_unix,datetime_utc,decreases_25_september_2025_yes
1746662406,2025-05-08T00:00:06+00:00,0.52
1746748807,2025-05-09T00:00:07+00:00,0.48
1746835206,2025-05-10T00:00:06+00:00,0.505
1746921606,2025-05-11T00:00:06+00:00,0.5
1747008006,2025-05-12T00:00:06+00:00,0.475
1747094406,2025-05-13T00:00:06+00:00,0.41
1747180807,2025-05-14T00:00:07+00:00,0.405
1747267207,2025-05-15T00:00:07+00:00,0.385
1747353606,2025-05-16T00:00:06+00:00,0.385
1747440007,2025-05-17T00:00:07+00:00,0.375
1747526406,2025-05-18T00:00:06+00:00,0.385
1747612806,2025-05-19T00:00:06+00:00,0.365
1747699206,2025-05-20T00:00:06+00:00,0.33
1747785606,2025-05-21T00:00:06+00:00,0.335
1747872007,2025-05-22T00:00:07+00:00,0.32
1747958407,2025-05-23T00:00:07+00:00,0.345
1748044807,2025-05-24T00:00:07+00:00,0.345
1748131206,2025-05-25T00:00:06+00:00,0.335
1748217607,2025-05-26T00:00:07+00:00,0.265
1748304006,2025-05-27T00:00:06+00:00,0.255
1748390406,2025-05-28T00:00:06+00:00,0.265
1748476807,2025-05-29T00:00:07+00:00,0.245
1748563207,2025-05-30T00:00:07+00:00,0.27
1748649607,2025-05-31T00:00:07+00:00,0.335
1748736007,2025-06-01T00:00:07+00:00,0.335
1748822406,2025-06-02T00:00:06+00:00,0.35
1748908807,2025-06-03T00:00:07+00:00,0.355
1748995206,2025-06-04T00:00:06+00:00,0.355
1749081606,2025-06-05T00:00:06+00:00,0.385
1749168006,2025-06-06T00:00:06+00:00,0.495
1749254407,2025-06-07T00:00:07+00:00,0.38
1749340807,2025-06-08T00:00:07+00:00,0.35
1749427207,2025-06-09T00:00:07+00:00,0.365
1749513606,2025-06-10T00:00:06+00:00,0.365
1749600007,2025-06-11T00:00:07+00:00,0.36
1749686407,2025-06-12T00:00:07+00:00,0.405
1749772807,2025-06-13T00:00:07+00:00,0.44
1749859208,2025-06-14T00:00:08+00:00,0.425
1749945608,2025-06-15T00:00:08+00:00,0.415
1750032007,2025-06-16T00:00:07+00:00,0.43
1750118408,2025-06-17T00:00:08+00:00,0.39
1750204808,2025-06-18T00:00:08+00:00,0.395
1750291207,2025-06-19T00:00:07+00:00,0.44
1750377608,2025-06-20T00:00:08+00:00,0.42
1750464008,2025-06-21T00:00:08+00:00,0.405
1750550406,2025-06-22T00:00:06+00:00,0.415
1750636807,2025-06-23T00:00:07+00:00,0.43
1750723207,2025-06-24T00:00:07+00:00,0.455
1750809607,2025-06-25T00:00:07+00:00,0.495
1750896008,2025-06-26T00:00:08+00:00,0.57
1750982407,2025-06-27T00:00:07+00:00,0.555
1751068807,2025-06-28T00:00:07+00:00,0.595
1751155208,2025-06-29T00:00:08+00:00,0.605
1751241607,2025-06-30T00:00:07+00:00,0.595
1751328008,2025-07-01T00:00:08+00:00,0.59
1751414407,2025-07-02T00:00:07+00:00,0.605
1751500808,2025-07-03T00:00:08+00:00,0.62
1751587208,2025-07-04T00:00:08+00:00,0.455
1751673608,2025-07-05T00:00:08+00:00,0.51
1751760007,2025-07-06T00:00:07+00:00,0.505
1751846407,2025-07-07T00:00:07+00:00,0.5
1751932808,2025-07-08T00:00:08+00:00,0.49
1752019207,2025-07-09T00:00:07+00:00,0.495
1752105608,2025-07-10T00:00:08+00:00,0.475
1752192008,2025-07-11T00:00:08+00:00,0.49
1752278409,2025-07-12T00:00:09+00:00,0.475
1752364808,2025-07-13T00:00:08+00:00,0.49
1752451207,2025-07-14T00:00:07+00:00,0.48
1752537608,2025-07-15T00:00:08+00:00,0.425
1752624008,2025-07-16T00:00:08+00:00,0.395
1752710408,2025-07-17T00:00:08+00:00,0.395
1752796808,2025-07-18T00:00:08+00:00,0.4
1752883209,2025-07-19T00:00:09+00:00,0.445
1752969608,2025-07-20T00:00:08+00:00,0.435
1753056007,2025-07-21T00:00:07+00:00,0.415
1753142409,2025-07-22T00:00:09+00:00,0.445
1753228809,2025-07-23T00:00:09+00:00,0.495
1753315209,2025-07-24T00:00:09+00:00,0.51
1753401609,2025-07-25T00:00:09+00:00,0.5
1753488009,2025-07-26T00:00:09+00:00,0.49
1753574410,2025-07-27T00:00:10+00:00,0.475
1753660809,2025-07-28T00:00:09+00:00,0.565
1753747210,2025-07-29T00:00:10+00:00,0.52
1753833610,2025-07-30T00:00:10+00:00,0.55
1753920008,2025-07-31T00:00:08+00:00,0.425
1754006409,2025-08-01T00:00:09+00:00,0.345
1754092809,2025-08-02T00:00:09+00:00,0.725
1754179208,2025-08-03T00:00:08+00:00,0.715
1754265607,2025-08-04T00:00:07+00:00,0.705
