timestamp_unix,datetime_utc,decreases_50_september_2025_yes
1756944010,2025-09-04T00:00:10+00:00,0.055
1757030403,2025-09-05T00:00:03+00:00,0.0565
1757116817,2025-09-06T00:00:17+00:00,0.1025
1757203208,2025-09-07T00:00:08+00:00,0.1045
1757289616,2025-09-08T00:00:16+00:00,0.093
1757376014,2025-09-09T00:00:14+00:00,0.175
1757462404,2025-09-10T00:00:04+00:00,0.1455
1757548814,2025-09-11T00:00:14+00:00,0.149
1757635223,2025-09-12T00:00:23+00:00,0.113
1757721606,2025-09-13T00:00:06+00:00,0.0735
1757808007,2025-09-14T00:00:07+00:00,0.0725
1757894411,2025-09-15T00:00:11+00:00,0.0685
1757980820,2025-09-16T00:00:20+00:00,0.068
1758067221,2025-09-17T00:00:21+00:00,0.0445
