timestamp_unix,datetime_utc,decreases_50_september_2025_no
1753228809,2025-07-23T00:00:09+00:00,0.934
1753315209,2025-07-24T00:00:09+00:00,0.9345
1753401609,2025-07-25T00:00:09+00:00,0.935
1753488009,2025-07-26T00:00:09+00:00,0.928
1753574410,2025-07-27T00:00:10+00:00,0.921
1753660809,2025-07-28T00:00:09+00:00,0.9205
1753747210,2025-07-29T00:00:10+00:00,0.942
1753833610,2025-07-30T00:00:10+00:00,0.9435
1753920008,2025-07-31T00:00:08+00:00,0.984
1754006409,2025-08-01T00:00:09+00:00,0.9795
1754092809,2025-08-02T00:00:09+00:00,0.9175
1754179208,2025-08-03T00:00:08+00:00,0.9265
1754265607,2025-08-04T00:00:07+00:00,0.9225
1754352008,2025-08-05T00:00:08+00:00,0.921
1754438409,2025-08-06T00:00:09+00:00,0.9305
1754524808,2025-08-07T00:00:08+00:00,0.934
1754611209,2025-08-08T00:00:09+00:00,0.9325
1754697611,2025-08-09T00:00:11+00:00,0.9335
1754784004,2025-08-10T00:00:04+00:00,0.933
1754870402,2025-08-11T00:00:02+00:00,0.9335
1754956803,2025-08-12T00:00:03+00:00,0.9365
1755043204,2025-08-13T00:00:04+00:00,0.9425
1755129605,2025-08-14T00:00:05+00:00,0.915
1755216003,2025-08-15T00:00:03+00:00,0.9625
1755302404,2025-08-16T00:00:04+00:00,0.9625
1755388812,2025-08-17T00:00:12+00:00,0.9625
1755475206,2025-08-18T00:00:06+00:00,0.965
1755561606,2025-08-19T00:00:06+00:00,0.97
1755648006,2025-08-20T00:00:06+00:00,0.9735
1755734408,2025-08-21T00:00:08+00:00,0.9755
1755820807,2025-08-22T00:00:07+00:00,0.9775
1755907209,2025-08-23T00:00:09+00:00,0.968
1755993604,2025-08-24T00:00:04+00:00,0.9625
1756080012,2025-08-25T00:00:12+00:00,0.958
1756166403,2025-08-26T00:00:03+00:00,0.9615
1756252815,2025-08-27T00:00:15+00:00,0.955
1756339209,2025-08-28T00:00:09+00:00,0.9535
1756425615,2025-08-29T00:00:15+00:00,0.9605
1756512010,2025-08-30T00:00:10+00:00,0.954
1756598402,2025-08-31T00:00:02+00:00,0.9455
1756684811,2025-09-01T00:00:11+00:00,0.958
1756771211,2025-09-02T00:00:11+00:00,0.954
1756857614,2025-09-03T00:00:14+00:00,0.954
1756944003,2025-09-04T00:00:03+00:00,0.945
1757030410,2025-09-05T00:00:10+00:00,0.9435
1757116812,2025-09-06T00:00:12+00:00,0.8975
1757203207,2025-09-07T00:00:07+00:00,0.8955
1757289619,2025-09-08T00:00:19+00:00,0.907
1757376017,2025-09-09T00:00:17+00:00,0.825
1757462414,2025-09-10T00:00:14+00:00,0.8545
1757548812,2025-09-11T00:00:12+00:00,0.851
1757635216,2025-09-12T00:00:16+00:00,0.887
1757721613,2025-09-13T00:00:13+00:00,0.9265
1757808022,2025-09-14T00:00:22+00:00,0.9275
1757894413,2025-09-15T00:00:13+00:00,0.9315
1757980814,2025-09-16T00:00:14+00:00,0.932
1758067221,2025-09-17T00:00:21+00:00,0.9555
